student_id,age,exam_1,exam_2,exam_3
17772,23,72,78,86
19021,18,69,76,91
18097,19,70,72,89
16170,20,66,71,91
12304,25,68,75,86
12567,19,67,76,87
16585,19,68,75,87
17562,24,71,75,86
18267,21,66,79,88
13652,22,69,76,88
12842,20,64,73,85
17935,20,68,76,89
17592,22,67,75,89
19003,18,66,71,85
12335,20,72,76,88
19071,20,70,76,86
17061,23,68,76,87
11758,24,68,73,88
11585,23,67,74,87
13091,22,67,72,90
17487,18,65,75,87
14812,25,68,71,86
19178,23,70,74,87
19690,24,68,75,89
12400,25,67,74,91
10402,23,68,77,85
18607,23,69,75,88
19810,22,67,74,86
18325,18,69,75,86
11816,18,70,74,89
17047,21,66,76,87
14534,20,67,73,88
16242,22,71,74,81
14038,20,70,73,87
15779,25,67,73,86
10636,23,69,75,87
15307,19,66,74,86
18795,25,74,75,86
10665,18,68,75,89
18379,23,65,71,84
14048,20,67,75,89
12359,18,68,77,89
14403,25,67,73,88
18295,25,70,76,88
17689,25,66,72,88
14115,18,66,77,88
12354,24,64,77,91
15725,22,70,77,88
14278,22,68,72,86
18545,19,69,78,87
15504,23,65,72,89
18708,25,68,74,89
10996,21,68,74,85
14529,20,66,74,93
12519,22,65,75,86
19505,23,69,77,86
19408,22,68,76,88
19063,19,67,75,88
13038,18,67,76,91
18987,22,65,74,85
18514,24,68,75,85
19411,18,70,78,87
13832,18,67,73,84
14872,21,66,75,89
18378,20,68,77,86
13954,19,69,72,86
14583,19,68,73,88
13481,23,68,75,91
12468,21,70,73,87
14580,24,68,77,91
18231,20,70,77,87
11288,23,69,76,87
15708,18,68,78,90
19426,22,67,74,87
17653,20,71,74,89
10409,22,69,70,85
13086,18,71,75,87
18175,22,70,72,90
16339,18,69,74,89
17142,18,69,74,88
12738,20,72,77,90
19886,25,69,75,85
17191,25,68,79,90
12350,20,69,73,86
16023,19,69,74,86
16905,20,68,76,85
10383,18,67,73,87
10387,24,70,74,89
17924,19,65,79,89
11230,21,69,74,88
18004,23,72,77,89
18964,23,67,73,89
16612,24,70,76,89
11761,21,68,75,90
19912,22,72,74,92
15029,22,68,77,97
19565,21,69,72,86
15017,20,71,78,92
12527,24,67,76,90
11416,19,68,75,85
10942,23,64,74,90
18819,20,69,76,86
15522,22,69,77,87
11243,24,67,73,90
17061,18,65,76,90
12064,24,63,74,86
15621,24,65,75,92
13561,20,63,75,89
18311,19,69,76,87
17453,24,71,77,85
13009,21,68,73,88
11302,19,67,75,88
13316,21,64,74,92
17802,23,67,74,88
12183,25,68,78,88
16822,18,67,78,88
13210,23,68,75,90
17551,21,70,76,87
19605,25,67,75,90
16932,24,65,73,89
13655,20,64,77,88
16708,20,66,77,92
17276,23,68,74,86
17753,25,69,74,89
14707,18,67,71,87
11306,25,63,74,87
14589,22,65,77,85
15413,22,67,75,88
11682,20,71,75,88
14276,18,68,71,90
19148,20,66,74,89
18771,25,69,73,88
10348,20,70,73,90
13621,20,70,74,90
11322,22,68,74,85
18101,22,72,74,87
16628,20,67,75,89
18149,24,68,74,84
13875,25,70,73,91
16269,25,67,74,86
17331,20,72,77,89
14680,20,67,75,90
17043,23,68,74,92
12756,20,68,73,88
13229,21,68,73,88
19163,25,70,77,89
15220,19,66,77,89
18527,18,71,77,90
17311,20,70,73,90
10228,20,68,76,85
14933,24,69,74,89
12950,19,67,74,91
10035,24,67,75,90
18974,23,68,76,88
12162,22,69,77,89
11866,18,66,75,91
11047,24,64,78,87
11874,19,66,76,88
13994,20,65,78,87
15867,21,69,75,85
13706,22,69,76,90
11843,24,71,77,89
10814,21,67,73,87
16255,21,70,74,85
16773,19,68,74,89
17191,19,65,73,85
15789,24,68,74,88
20000,25,65,73,87
13606,19,68,74,90
19018,22,69,72,86
16860,21,69,73,86
12557,25,68,74,89
12992,24,65,73,86
14269,21,68,77,87
15005,19,68,75,88
11418,23,65,74,85
13657,22,70,74,88
13666,23,68,75,89
17015,22,69,77,84
12122,24,69,77,88
17228,24,67,72,85
14537,25,66,78,87
17915,22,68,74,87
15910,18,70,72,90
13264,25,68,77,86
11372,23,72,76,88
13004,22,67,75,87
14799,20,68,77,88
12953,24,71,76,86
10950,20,71,77,89
17740,21,68,75,88
13859,22,68,73,90
14612,20,66,74,87
12417,18,73,74,90
18437,21,68,74,85
19159,19,68,75,90
14618,23,69,75,87
12258,25,65,72,90
17613,20,66,76,90
17201,20,68,75,87
15250,23,68,74,85
10176,21,67,74,91
18630,23,69,76,90
13175,19,68,77,93
10011,20,64,70,87
16799,19,69,75,88
12818,21,69,76,83
19877,24,68,73,89
16414,23,70,75,85
16616,25,70,75,90
12617,19,67,76,88
15549,21,73,73,87
11807,25,69,74,85
15349,25,67,77,88
10265,24,66,78,89
13985,19,70,76,87
13232,23,71,75,87
19939,25,70,75,89
12499,24,71,74,88
11328,22,69,73,87
17238,21,67,75,88
10662,21,69,79,86
19069,24,69,74,89
17849,19,68,75,86
10108,21,69,76,91
10028,24,69,77,89
14317,25,72,77,85
12923,19,68,79,91
13551,20,68,72,89
13611,24,68,73,88
12747,23,63,77,87
16685,21,68,77,89
18452,19,66,79,88
15087,25,64,76,86
19762,25,67,75,88
22857,32,68,72,91
19987,36,68,77,86
14723,38,69,73,91
12745,25,68,72,84
11946,32,70,72,89
13418,27,68,77,88
20648,27,70,76,86
24072,20,69,77,92
19248,34,66,73,87
16949,33,70,73,86
22124,36,66,73,90
18856,21,66,74,88
22005,25,69,75,91
11287,37,66,78,88
11950,18,71,77,86
17405,26,68,73,88
21906,19,66,76,86
11829,34,67,74,88
13992,18,70,75,89
13950,21,67,74,86
16313,32,70,75,89
22405,31,69,75,87
21909,20,69,76,88
23849,24,68,73,88
16313,28,67,77,90
19596,17,72,72,89
16927,27,68,73,87
22963,31,69,72,87
21082,26,68,75,88
18875,33,70,75,86
20496,27,67,74,85
14722,24,71,79,90
10989,28,67,77,89
13527,36,70,79,87
24108,30,68,72,88
10846,28,69,70,90
19897,22,71,74,87
19816,21,66,77,85
16360,33,70,75,88
24965,23,65,76,87
17543,30,67,73,87
17704,17,70,74,87
10805,31,68,72,91
23471,17,69,73,87
12776,35,70,74,87
11323,17,69,76,88
16152,32,68,77,87
11018,25,70,77,89
12587,38,69,77,89
14759,32,67,76,85
21777,38,67,71,89
14956,29,70,79,90
18515,20,66,77,87
22352,35,67,72,91
18159,17,68,73,88
19345,23,73,79,89
17565,19,69,76,86
15945,36,67,70,87
24898,25,66,73,88
10998,28,68,78,87
14353,34,62,75,89
15987,38,67,74,90
13284,28,67,79,88
20097,18,71,77,86
24917,37,65,76,88
20981,25,71,77,84
17964,26,67,78,86
16675,29,65,74,86
14132,27,70,77,84
16983,30,66,77,90
23832,25,72,78,89
17171,30,68,78,91
19579,19,69,75,88
14765,37,71,75,84
23420,24,68,76,91
23865,28,68,73,87
24267,31,69,74,88
23586,27,70,72,92
10092,22,70,71,88
13332,22,70,78,86
19238,19,68,73,87
17700,36,69,77,86
11652,32,66,76,85
19560,17,71,78,87
21537,31,68,75,85
20365,20,65,75,86
12807,27,70,76,89
24831,20,71,76,85
13030,21,69,77,92
21148,38,65,75,90
23983,24,71,77,85
15402,32,68,72,89
20178,18,69,72,86
20409,29,69,71,85
22574,29,69,77,91
20513,17,69,76,89
19210,17,66,75,84
13524,22,68,77,89
12058,17,70,72,90
24874,35,66,73,88
11770,38,64,77,87
11175,32,69,76,88
13145,25,69,75,84
15867,32,66,75,90
17576,23,71,72,90
18575,34,68,73,86
12720,18,64,78,87
13023,36,65,72,89
21663,34,68,73,85
21986,28,67,77,88
23795,32,67,73,88
14954,18,69,74,87
10793,19,69,71,86
15065,37,68,75,89
19330,24,70,76,88
11852,29,71,73,89
19146,35,69,74,88
24041,21,67,78,87
15101,25,67,74,85
17885,25,68,72,90
23316,23,68,75,86
11529,18,67,71,83
21674,36,69,75,87
20741,18,69,75,87
13912,30,68,75,90
18515,25,68,75,90
23699,34,68,76,87
15496,20,69,76,81
23872,29,69,74,93
11307,21,69,75,88
10807,37,72,77,89
21170,32,66,75,90
15693,17,70,76,86
20341,32,70,75,87
12657,20,67,76,87
22187,38,69,75,91
20291,19,70,76,85
19746,34,69,75,86
22086,32,70,73,93
13749,37,68,72,90
20737,24,67,80,91
13873,37,70,76,89
10210,38,70,75,89
16311,35,69,74,89
21385,31,66,73,86
19577,22,69,72,89
24996,20,65,75,87
21861,29,68,73,88
18622,19,65,77,87
11938,38,71,76,85
23876,23,65,73,88
19077,34,66,74,89
13375,21,67,76,86
21166,19,67,77,89
11843,21,67,75,88
13625,34,65,74,89
12287,21,67,75,88
15703,20,67,74,88
23606,31,68,75,89
14119,37,65,75,87
21549,31,70,75,94
11103,29,71,77,87
12872,25,66,75,87
18852,35,66,74,87
22921,31,64,76,90
19899,19,69,74,86
18113,29,74,75,85
14876,28,67,73,91
13861,33,67,77,88
11850,17,66,77,87
11285,34,68,72,88
16985,27,70,72,89
11253,28,68,75,86
12180,28,71,76,86
20419,28,71,76,85
19185,31,67,75,88
23278,18,70,75,89
20850,19,63,75,89
14306,21,65,78,88
12198,37,68,77,88
11354,37,70,74,89
11751,37,64,74,90
10593,18,62,78,89
22780,20,69,75,87
15485,30,64,75,86
23787,21,65,75,91
12251,25,68,71,90
12931,20,68,76,91
20608,32,68,73,83
24573,21,70,76,84
22692,33,68,74,85
10550,35,65,76,89
20414,20,71,76,87
17541,25,66,76,91
12994,26,69,74,84
12108,22,65,74,88
17738,29,66,74,89
12395,29,70,75,84
17565,32,69,74,86
17067,30,71,73,84
16989,28,70,77,88
12261,35,71,77,88
23592,28,65,76,89
14510,35,69,76,88
13380,24,67,76,90
18944,21,67,76,90
24153,26,66,71,87
16964,35,66,75,90
12204,34,68,73,89
14007,24,69,77,88
20761,28,72,74,86
10244,26,69,78,90
15128,30,67,76,87
23259,30,68,73,86
18938,17,67,70,91
18315,31,68,74,84
23662,32,66,75,87
19819,25,69,73,92
11519,28,67,71,86
11790,21,67,76,89
12903,22,71,71,85
11384,29,70,73,86
23638,34,67,73,85
10978,25,72,72,89
16196,18,72,76,86
23286,22,68,76,87
10784,37,70,76,93
15814,28,67,77,86
13299,17,64,74,89
24658,26,65,73,89
20064,17,68,75,90
10614,26,68,74,92
20172,31,68,76,89
18147,18,68,75,88
20125,36,69,77,84
16794,27,68,75,84
15794,26,68,75,87
10878,25,71,73,89
19819,24,67,76,90
10403,19,66,75,86
21976,20,69,72,88
15579,38,65,76,87
19476,23,67,71,87
14713,18,68,75,84
24363,37,67,76,88
19696,29,72,75,90
16718,19,69,75,86
21627,38,68,75,85
22229,30,69,76,86
22328,20,70,75,87
22533,38,68,75,89
22015,20,70,74,86
12712,26,69,72,87
19049,36,66,74,89
15430,36,66,75,90
24980,37,69,78,90
18991,27,69,76,89
12759,28,69,77,88
17569,34,67,77,86
24944,21,67,73,86
14860,33,67,74,88
17159,29,68,77,85
20999,26,65,75,89
14964,30,69,73,88
13674,37,70,78,86
13243,30,70,74,89
15011,37,68,73,89
22060,17,70,72,91
14658,18,69,73,88
22779,27,66,75,88
16315,34,66,78,90
16347,35,68,74,86
12526,23,67,73,85
20571,36,65,74,90
24087,30,69,77,88
23748,23,66,75,92
11068,30,69,74,89
20980,26,70,75,88
12353,38,67,77,87
14786,28,70,79,89
16808,26,68,76,88
22767,18,68,75,90
11369,27,69,73,88
23141,25,67,73,87
15912,35,67,74,90
12245,37,71,74,87
11946,20,68,81,88
20231,22,71,77,92
14766,33,68,73,88
16733,38,68,75,88
16322,35,65,75,88
22649,20,67,72,87
11212,29,68,75,87
11566,32,69,77,86
16735,30,68,77,90
12058,37,69,77,86
15482,32,72,76,90
22554,35,68,72,85
14403,33,70,76,88
19616,23,68,76,90
24836,34,72,73,90
14247,31,66,77,88
15137,26,67,74,87
22912,24,70,74,87
21492,36,70,77,92
23459,30,68,76,84
17780,27,73,75,86
17962,29,74,75,82
24132,36,70,79,90
17132,25,67,74,85
20628,21,67,75,85
11232,35,72,75,89
21401,24,66,76,85
12440,25,69,75,90
17662,30,65,76,87
11217,36,65,77,91
24655,38,70,74,89
23791,29,68,75,89
19257,35,68,73,88
18647,25,67,76,88
15763,35,67,76,92
17923,28,65,72,84
14203,24,67,74,86
20249,22,69,76,88
11256,26,70,75,88
12434,22,72,76,89
14285,38,67,72,90
10920,26,66,76,90
16274,23,68,74,90
10805,18,69,74,86
20575,28,63,74,90
21413,28,69,75,89
17993,21,67,76,86
13101,26,65,72,87
14612,35,67,77,88
23245,30,70,76,89
19031,35,68,74,88
23342,28,63,77,89
14681,38,66,78,85
12095,34,69,77,90
19027,26,67,78,89
13402,30,69,77,90
12372,18,63,73,88
10263,22,66,75,84
12415,22,67,74,85
24885,19,68,79,86
23764,37,70,77,88
17051,22,66,76,91
18571,34,71,72,91
22913,20,67,80,90
19104,35,72,77,86
24847,31,69,74,89
17435,29,70,76,91
13493,23,67,78,86
12361,23,69,72,85
20390,28,70,76,86
23461,31,70,77,90
12786,31,69,75,91
23036,38,71,75,86
18231,38,64,73,87
17622,32,66,75,88
12071,33,68,74,89
15525,31,68,75,88
20459,19,65,78,89
20451,35,68,75,88
17209,27,66,78,89
15626,24,70,78,90
18911,32,71,76,89
14323,20,70,75,89
23173,21,68,76,89
15415,24,69,77,89
20299,26,67,75,90
18365,22,69,75,89
10188,35,68,77,87
21342,22,67,76,89
21097,25,69,76,81
16917,36,65,74,88
11504,27,67,76,87
18041,36,67,71,87
14013,17,69,73,87
17943,17,69,74,89
14286,30,70,78,86
17333,33,70,80,87
14590,18,66,75,87
19789,26,69,72,87
24695,24,63,74,87
20229,17,68,73,85
10436,23,69,78,87
16151,17,65,77,90
11974,25,65,77,88
12314,26,67,78,87
20903,17,64,74,88
21073,33,70,77,88
14712,33,69,73,91
21093,22,66,75,88
11541,20,72,78,87
14542,26,70,79,87
20434,30,69,73,87
19559,38,66,74,83
24167,27,69,74,89
23298,26,66,72,88
15349,36,70,73,88
11703,36,69,76,92
11206,31,70,77,85
10326,30,72,76,89
16278,25,68,75,86
22571,31,67,78,85
23653,20,64,74,86
14889,19,67,74,86
15661,24,67,74,89
22460,28,70,76,91
14283,21,69,72,89
13744,25,70,79,87
11875,28,65,72,88
10864,28,69,74,84
19990,38,71,78,88
20647,17,66,73,89
15776,35,68,74,90
13007,28,69,76,87
18961,34,71,78,88
16759,28,68,76,89
13942,33,68,72,89
17208,28,66,80,89
11490,32,69,74,89
10038,23,68,77,90
19261,17,68,76,89
21915,27,65,74,90
19922,31,68,74,90
14800,20,68,76,90
13552,18,73,74,86
10787,23,70,75,88
18777,32,67,76,90
24904,20,65,75,88
23064,28,68,72,86
22310,32,70,73,89
17392,17,67,73,89
11617,32,69,78,90
19297,18,66,74,90
20612,30,64,77,89
12979,26,65,74,87
19969,23,66,77,89
19337,29,67,76,87
19425,23,67,74,86
23138,37,67,76,89
21939,32,65,75,89
16487,33,68,77,88
10593,28,70,71,86
18219,35,73,76,90
15115,36,69,73,86
16444,23,72,75,86
11324,20,68,73,90
20573,35,67,77,90
19275,36,65,79,88
10778,18,68,76,88
11321,24,66,77,91
18413,23,68,75,91
23775,36,66,74,87
12703,35,65,76,89
14621,33,70,79,86
12375,38,66,77,85
19016,32,71,76,88
11243,32,69,74,85
24315,35,71,77,84
24488,20,69,77,87
17717,30,67,76,86
18306,37,65,76,87
16795,27,70,74,86
16523,21,66,75,86
23043,30,64,73,88
22216,20,69,73,89
22985,34,65,76,88
17961,24,67,77,88
15837,18,69,78,87
22239,24,72,75,88
21302,17,66,78,88
15114,17,65,73,89
10206,18,67,74,90
23917,31,65,73,85
13783,38,66,77,89
24814,31,66,74,87
13603,36,69,74,86
16706,33,67,77,89
14451,26,70,79,91
23056,37,64,74,87
13433,26,65,77,89
21172,17,68,77,89
20054,29,66,76,89
13755,20,67,78,87
22711,25,67,75,88
15678,38,69,76,90
22958,36,68,72,88
20600,35,72,74,86
20271,19,69,75,95
12591,17,70,76,89
24697,27,72,74,89
15993,36,71,74,90
24035,35,66,70,88
16580,20,67,76,85
13211,21,66,74,87
12111,38,67,75,88
15968,22,66,74,89
15837,30,70,78,87
21850,23,70,74,86
24393,30,67,77,87
21414,18,66,75,83
22294,24,70,76,91
23256,22,67,74,87
13257,20,71,75,88
13813,20,69,72,86
14856,28,64,74,88
14721,24,67,76,89
12890,17,69,77,85
24180,31,68,76,89
24678,19,70,75,91
12113,35,67,76,86
22759,28,70,75,88
18162,27,66,78,87
21212,18,67,74,90
18121,17,69,77,86
15183,18,66,76,90
11640,27,67,75,87
24900,28,68,72,88
20548,28,66,74,90
14409,37,68,75,89
10917,26,68,77,91
24315,36,69,77,85
